Time(milliseconds),Start Range (Miles),End Range (Miles),High Power (Boolean),Number of Pules (Multi-Pulse),width (degrees),Azimuth(Degrees),Elevation (Degrees)
0,0,60,1,2,3,1.25,1.25
0.644181649,0,60,1,1,3,1.25,4
1.288363298,0,60,1,1,3,1.25,6.75
1.932544947,0,60,1,7,3,1.25,9.5
2.576726597,0,60,1,1,3,1.25,12.25
3.220908246,0,60,1,1,3,1.25,15
3.865089895,0,60,1,24,3,1.25,17.75
4.509271544,0,60,1,1,3,1.25,20.5
5.153453193,0,60,1,1,3,1.25,23.25
5.797634842,0,60,1,21,3,1.25,26
6.441816492,0,60,1,26,3,1.25,28.75
7.085998141,0,60,1,1,3,1.25,31.5
7.73017979,0,60,1,1,3,1.25,34.25
8.374361439,0,60,1,1,3,1.25,37
9.018543088,0,60,1,3,3,1.25,39.75
9.662724737,0,60,1,1,3,1.25,42.5
10.30690639,0,60,1,1,3,1.25,45.25
10.95108804,0,60,1,1,3,1.25,48
11.59526968,0,60,1,1,3,1.25,50.75
12.23945133,0,60,1,1,3,1.25,53.5
12.88363298,0,60,1,1,3,1.25,56.25
13.52781463,0,60,1,1,3,1.25,59
14.17199628,0,60,1,1,3,1.25,61.75
14.81617793,0,60,1,1,3,1.25,64.5
15.46035958,0,60,1,1,3,1.25,67.25
16.10454123,0,60,1,4,3,1.25,70
16.74872288,0,60,1,1,3,1.25,72.75
17.39290453,0,60,1,14,3,1.25,75.5
18.03708618,0,60,1,1,3,1.25,78.25
18.68126783,0,60,1,1,3,1.25,81
19.32544947,0,60,1,22,3,1.25,83.75
19.96963112,0,60,1,1,3,1.25,86.5
20.61381277,0,60,1,2,3,1.25,89.25
21.25799442,0,60,1,1,3,1.25,92
21.90217607,0,60,1,22,3,1.25,94.75
22.54635772,0,60,1,1,3,1.25,97.5
23.19053937,0,60,1,20,3,1.25,100.25
23.83472102,0,60,1,1,3,1.25,103
24.47890267,0,60,1,3,3,1.25,105.75
25.12308432,0,60,1,1,3,1.25,108.5
25.76726597,0,60,1,1,3,1.25,111.25
26.41144762,0,60,1,1,3,1.25,114
27.05562926,0,60,1,18,3,1.25,116.75
27.69981091,0,60,1,1,3,1.25,119.5
28.34399256,0,60,1,1,3,1.25,122.25
28.98817421,0,60,1,1,3,1.25,125
29.63235586,0,60,1,1,3,1.25,127.75
30.27653751,0,60,1,32,3,1.25,130.5
30.92071916,0,60,1,1,3,1.25,133.25
31.56490081,0,60,1,4,3,1.25,136
32.20908246,0,60,1,1,3,1.25,138.75
32.85326411,0,60,1,1,3,1.25,141.5
33.49744576,0,60,1,1,3,1.25,144.25
34.14162741,0,60,1,1,3,1.25,147
34.78580905,0,60,1,1,3,1.25,149.75
35.4299907,0,60,1,19,3,1.25,152.5
36.07417235,0,60,1,1,3,1.25,155.25
36.718354,0,60,1,1,3,1.25,158
37.36253565,0,60,1,23,3,1.25,160.75
38.0067173,0,60,1,19,3,1.25,163.5
38.65089895,0,60,1,1,3,1.25,166.25
39.2950806,0,60,1,4,3,1.25,169
39.93926225,0,60,1,1,3,1.25,171.75
40.5834439,0,60,1,16,3,1.25,174.5
41.22762555,0,60,1,1,3,1.25,177.25
41.8718072,0,60,1,2,3,1.25,180
42.51598884,0,60,1,1,3,1.25,182.75
43.16017049,0,60,1,11,3,1.25,185.5
43.80435214,0,60,1,15,3,1.25,188.25
44.44853379,0,60,1,1,3,1.25,191
45.09271544,0,60,1,1,3,1.25,193.75
45.73689709,0,60,1,1,3,1.25,196.5
46.38107874,0,60,1,6,3,1.25,199.25
47.02526039,0,60,1,1,3,1.25,202
47.66944204,0,60,1,1,3,1.25,204.75
48.31362369,0,60,1,12,3,1.25,207.5
48.95780534,0,60,1,1,3,1.25,210.25
49.60198699,0,60,1,26,3,1.25,213
50.24616863,0,60,1,1,3,1.25,215.75
50.89035028,0,60,1,5,3,1.25,218.5
51.53453193,0,60,1,13,3,1.25,221.25
52.17871358,0,60,1,15,3,1.25,224
52.82289523,0,60,1,1,3,1.25,226.75
53.46707688,0,60,1,1,3,1.25,229.5
54.11125853,0,60,1,30,3,1.25,232.25
54.75544018,0,60,1,1,3,1.25,235
55.39962183,0,60,1,1,3,1.25,237.75
56.04380348,0,60,1,18,3,1.25,240.5
56.68798513,0,60,1,13,3,1.25,243.25
57.33216678,0,60,1,1,3,1.25,246
57.97634842,0,60,1,1,3,1.25,248.75
58.62053007,0,60,1,20,3,1.25,251.5
59.26471172,0,60,1,2,3,1.25,254.25
59.90889337,0,60,1,1,3,1.25,257
60.55307502,0,60,1,31,3,1.25,259.75
61.19725667,0,60,1,12,3,1.25,262.5
61.84143832,0,60,1,1,3,1.25,265.25
62.48561997,0,60,1,1,3,1.25,268
63.12980162,0,60,1,1,3,1.25,270.75
63.77398327,0,60,1,1,3,1.25,273.5
64.41816492,0,60,1,1,3,1.25,276.25
65.06234657,0,60,1,25,3,1.25,279
65.70652821,0,60,1,1,3,1.25,281.75
66.35070986,0,60,1,1,3,1.25,284.5
66.99489151,0,60,1,1,3,1.25,287.25
67.63907316,0,60,1,1,3,1.25,290
68.28325481,0,60,1,1,3,1.25,292.75
68.92743646,0,60,1,1,3,1.25,295.5
69.57161811,0,60,1,1,3,1.25,298.25
70.21579976,0,60,1,1,3,1.25,301
70.85998141,0,60,1,22,3,1.25,303.75
71.50416306,0,60,1,25,3,1.25,306.5
72.14834471,0,60,1,6,3,1.25,309.25
72.79252636,0,60,1,1,3,1.25,312
73.436708,0,60,1,1,3,1.25,314.75
74.08088965,0,60,1,1,3,1.25,317.5
74.7250713,0,60,1,25,3,1.25,320.25
75.36925295,0,60,1,1,3,1.25,323
76.0134346,0,60,1,26,3,1.25,325.75
76.65761625,0,60,1,1,3,1.25,328.5
77.3017979,0,60,1,1,3,1.25,331.25
77.94597955,0,60,1,29,3,1.25,334
78.5901612,0,60,1,1,3,1.25,336.75
79.23434285,0,60,1,4,3,1.25,339.5
79.8785245,0,60,1,16,3,1.25,342.25
80.52270614,0,60,1,19,3,1.25,345
81.16688779,0,60,1,1,3,1.25,347.75
81.81106944,0,60,1,10,3,1.25,350.5
82.45525109,0,60,1,1,3,1.25,353.25
83.09943274,0,60,1,1,3,1.25,356
83.74361439,0,60,1,1,3,1.25,358.75
84.38779604,0,60,1,29,3,2.5,1.5
85.03197769,0,60,1,1,3,2.5,4.25
85.67615934,0,60,1,3,3,2.5,7
86.32034099,0,60,1,17,3,2.5,9.75
86.96452264,0,60,1,1,3,2.5,12.5
87.60870429,0,60,1,26,3,2.5,15.25
88.25288593,0,60,1,12,3,2.5,18
88.89706758,0,60,1,15,3,2.5,20.75
89.54124923,0,60,1,1,3,2.5,23.5
90.18543088,0,60,1,5,3,2.5,26.25
90.82961253,0,60,1,1,3,2.5,29
91.47379418,0,60,1,1,3,2.5,31.75
92.11797583,0,60,1,20,3,2.5,34.5
92.76215748,0,60,1,1,3,2.5,37.25
93.40633913,0,60,1,1,3,2.5,40
94.05052078,0,60,1,1,3,2.5,42.75
94.69470243,0,60,1,10,3,2.5,45.5
95.33888408,0,60,1,4,3,2.5,48.25
95.98306572,0,60,1,31,3,2.5,51
96.62724737,0,60,1,7,3,2.5,53.75
97.27142902,0,60,1,1,3,2.5,56.5
97.91561067,0,60,1,1,3,2.5,59.25
98.55979232,0,60,1,1,3,2.5,62
99.20397397,0,60,1,1,3,2.5,64.75
99.84815562,0,60,1,1,3,2.5,67.5
100.4923373,0,60,1,1,3,2.5,70.25
101.1365189,0,60,1,1,3,2.5,73
101.7807006,0,60,1,1,3,2.5,75.75
102.4248822,0,60,1,1,3,2.5,78.5
103.0690639,0,60,1,1,3,2.5,81.25
103.7132455,0,60,1,1,3,2.5,84
104.3574272,0,60,1,1,3,2.5,86.75
105.0016088,0,60,1,1,3,2.5,89.5
105.6457905,0,60,1,1,3,2.5,92.25
106.2899721,0,60,1,31,3,2.5,95
106.9341538,0,60,1,1,3,2.5,97.75
107.5783354,0,60,1,32,3,2.5,100.5
108.2225171,0,60,1,1,3,2.5,103.25
108.8666987,0,60,1,10,3,2.5,106
109.5108804,0,60,1,1,3,2.5,108.75
110.155062,0,60,1,24,3,2.5,111.5
110.7992437,0,60,1,1,3,2.5,114.25
111.4434253,0,60,1,1,3,2.5,117
112.087607,0,60,1,1,3,2.5,119.75
112.7317886,0,60,1,1,3,2.5,122.5
113.3759703,0,60,1,1,3,2.5,125.25
114.0201519,0,60,1,1,3,2.5,128
114.6643336,0,60,1,1,3,2.5,130.75
115.3085152,0,60,1,1,3,2.5,133.5
115.9526968,0,60,1,1,3,2.5,136.25
116.5968785,0,60,1,1,3,2.5,139
117.2410601,0,60,1,1,3,2.5,141.75
117.8852418,0,60,1,1,3,2.5,144.5
118.5294234,0,60,1,1,3,2.5,147.25
119.1736051,0,60,1,8,3,2.5,150
119.8177867,0,60,1,1,3,2.5,152.75
120.4619684,0,60,1,1,3,2.5,155.5
121.10615,0,60,1,1,3,2.5,158.25
121.7503317,0,60,1,1,3,2.5,161
122.3945133,0,60,1,1,3,2.5,163.75
123.038695,0,60,1,1,3,2.5,166.5
123.6828766,0,60,1,16,3,2.5,169.25
124.3270583,0,60,1,1,3,2.5,172
124.9712399,0,60,1,1,3,2.5,174.75
125.6154216,0,60,1,1,3,2.5,177.5
126.2596032,0,60,1,1,3,2.5,180.25
126.9037849,0,60,1,1,3,2.5,183
127.5479665,0,60,1,1,3,2.5,185.75
128.1921482,0,60,1,4,3,2.5,188.5
128.8363298,0,60,1,18,3,2.5,191.25
129.4805115,0,60,1,1,3,2.5,194
130.1246931,0,60,1,27,3,2.5,196.75
130.7688748,0,60,1,23,3,2.5,199.5
131.4130564,0,60,1,12,3,2.5,202.25
132.0572381,0,60,1,14,3,2.5,205
132.7014197,0,60,1,1,3,2.5,207.75
133.3456014,0,60,1,1,3,2.5,210.5
133.989783,0,60,1,1,3,2.5,213.25
134.6339647,0,60,1,30,3,2.5,216
135.2781463,0,60,1,1,3,2.5,218.75
135.922328,0,60,1,1,3,2.5,221.5
136.5665096,0,60,1,13,3,2.5,224.25
137.2106913,0,60,1,30,3,2.5,227
137.8548729,0,60,1,1,3,2.5,229.75
138.4990546,0,60,1,1,3,2.5,232.5
139.1432362,0,60,1,1,3,2.5,235.25
139.7874179,0,60,1,1,3,2.5,238
140.4315995,0,60,1,1,3,2.5,240.75
141.0757812,0,60,1,1,3,2.5,243.5
141.7199628,0,60,1,27,3,2.5,246.25
142.3641445,0,60,1,8,3,2.5,249
143.0083261,0,60,1,1,3,2.5,251.75
143.6525078,0,60,1,17,3,2.5,254.5
